TurbID,node_index,signal,fit_split,total_count,valid_ratio,first_difference_std,valid_count,mean,std,q05,q25,q50,q75,q95
1,0,Patv_raw,train,42047,0.6929626370490166,140.77058955385533,29137,624.0877228897671,472.9639504578067,42.49599990844727,202.8800048828125,512.9600219726562,996.760009765625,1515.0719482421875
2,1,Patv_raw,train,42047,0.68872927914001,130.6325233140934,28959,522.965300636961,420.31305828508215,29.350000381469727,160.92499542236328,413.5,828.8599853515625,1347.8639648437495
3,2,Patv_raw,train,42047,0.6976716531500464,139.43456106622682,29335,630.2802975891665,476.3441948799825,42.157000350952146,202.09500122070312,524.0599975585938,1019.1849975585938,1512.1339721679688
4,3,Patv_raw,train,42047,0.6991224106357172,147.20108852192598,29396,599.4437840162541,469.59156115013235,28.11750078201294,180.2899932861328,484.6549987792969,980.9199981689453,1493.6625061035156
5,4,Patv_raw,train,42047,0.7262349275810402,136.9747215333252,30536,587.2526637822181,484.94694398702353,0.0,157.9375,462.80499267578125,975.8675079345703,1513.4024963378906
6,5,Patv_raw,train,42047,0.7071848169905106,140.42783186059586,29735,638.0009794950037,487.52024610142996,36.883999252319335,200.1500015258789,520.030029296875,1048.875,1517.6700439453125
7,6,Patv_raw,train,42047,0.7119651818203439,136.2295857838467,29936,589.3639781167266,471.980102309004,24.647499561309814,168.88999938964844,467.49000549316406,963.3199920654297,1501.1750183105469
8,7,Patv_raw,train,42047,0.7159607106333389,140.72493496569865,30104,609.782684730644,483.6550997743907,30.011500263214113,179.5800018310547,485.2550048828125,998.9224853515625,1516.4225463867188
9,8,Patv_raw,train,42047,0.7011439579518158,143.37226748619983,29481,617.9949795489163,478.04696097269857,37.68000030517578,192.11000061035156,499.1000061035156,1004.8099975585938,1515.030029296875
10,9,Patv_raw,train,42047,0.7099436345042452,139.39517418477251,29851,617.2666858140675,481.92047351205457,35.540000915527344,188.30999755859375,496.4100036621094,1004.875,1517.0750122070312
11,10,Patv_raw,train,42047,0.70635241515447,141.75714082763182,29700,608.1369088748486,471.3685337715719,33.33950023651123,189.32749557495117,492.98500061035156,985.10498046875,1501.6904418945312
12,11,Patv_raw,train,42047,0.7058054082336433,141.40182224165753,29677,617.0881129404469,475.8486889949667,39.42000045776368,194.1699981689453,497.0,999.5,1513.9240234375
13,12,Patv_raw,train,42047,0.7087307061145861,145.4509822694476,29800,581.2884049614881,462.7155905947205,25.10850057601929,178.4650001525879,460.9550018310547,932.0149841308594,1503.4205444335937
14,13,Patv_raw,train,42047,0.7263776250386472,139.14451974576187,30542,563.9951539786124,474.23583193087256,0.0,152.96500396728516,430.09999084472656,922.8949737548828,1505.0949768066403
15,14,Patv_raw,train,42047,0.7029990249007063,138.9746741307024,29559,586.2570900123873,462.46451210410845,33.54299926757813,181.70999908447266,469.6099853515625,937.5249938964844,1503.0630493164062
16,15,Patv_raw,train,42047,0.7011439579518158,133.43361119473852,29481,560.2891047863754,448.5603192038511,26.540000915527344,174.6999969482422,445.3900146484375,891.9199829101562,1457.699951171875
17,16,Patv_raw,train,42047,0.7081836991937593,139.77746318773058,29777,566.7661514604263,449.90479645405236,27.63799934387207,176.8699951171875,448.8399963378906,903.969970703125,1469.0479980468742
18,17,Patv_raw,train,42047,0.7264014079482484,129.77094135563897,30543,537.7111377205392,446.8707514026194,1.7120000362396268,160.22500610351562,414.6700134277344,854.8150024414062,1463.6760498046874
