TurbID,representation,curve_type,x,y,x_unit,y_unit
6,raw,spectrum,0.0006944444444444445,0.0005973717544784239,cycles_per_10min_step,share_of_non_dc_energy
6,raw,spectrum,0.001388888888888889,0.001146868398347973,cycles_per_10min_step,share_of_non_dc_energy
6,raw,spectrum,0.0020833333333333333,0.0010125108129456228,cycles_per_10min_step,share_of_non_dc_energy
6,raw,spectrum,0.002777777777777778,0.001186486636088008,cycles_per_10min_step,share_of_non_dc_energy
6,raw,spectrum,0.0034722222222222225,0.0011130527315291168,cycles_per_10min_step,share_of_non_dc_energy
6,raw,spectrum,0.004166666666666667,0.001997137089797033,cycles_per_10min_step,share_of_non_dc_energy
6,raw,spectrum,0.004861111111111111,0.002722884577376814,cycles_per_10min_step,share_of_non_dc_energy
6,raw,spectrum,0.005555555555555556,0.0031361652238565893,cycles_per_10min_step,share_of_non_dc_energy
6,raw,spectrum,0.00625,0.004333900334759894,cycles_per_10min_step,share_of_non_dc_energy
6,raw,spectrum,0.006944444444444445,0.007397158825816872,cycles_per_10min_step,share_of_non_dc_energy
6,raw,spectrum,0.0076388888888888895,0.0185213012487083,cycles_per_10min_step,share_of_non_dc_energy
6,raw,spectrum,0.008333333333333333,0.10322143763216117,cycles_per_10min_step,share_of_non_dc_energy
6,raw,spectrum,0.009027777777777779,0.7640179556878489,cycles_per_10min_step,share_of_non_dc_energy
6,raw,spectrum,0.009722222222222222,0.033532354968656045,cycles_per_10min_step,share_of_non_dc_energy
6,raw,spectrum,0.010416666666666668,0.011137824038875387,cycles_per_10min_step,share_of_non_dc_energy
6,raw,spectrum,0.011111111111111112,0.004815857262045418,cycles_per_10min_step,share_of_non_dc_energy
6,raw,spectrum,0.011805555555555555,0.0026530585394264976,cycles_per_10min_step,share_of_non_dc_energy
6,raw,spectrum,0.0125,0.0021185542543492412,cycles_per_10min_step,share_of_non_dc_energy
6,raw,spectrum,0.013194444444444444,0.001499747558471182,cycles_per_10min_step,share_of_non_dc_energy
6,raw,spectrum,0.01388888888888889,0.0008832613218751707,cycles_per_10min_step,share_of_non_dc_energy
6,raw,spectrum,0.014583333333333334,0.0005061151906711179,cycles_per_10min_step,share_of_non_dc_energy
6,raw,spectrum,0.015277777777777779,0.00035752791912632866,cycles_per_10min_step,share_of_non_dc_energy
6,raw,spectrum,0.015972222222222224,0.0005157132667494908,cycles_per_10min_step,share_of_non_dc_energy
6,raw,spectrum,0.016666666666666666,0.000551199093121926,cycles_per_10min_step,share_of_non_dc_energy
6,raw,spectrum,0.017361111111111112,0.0002999828627803448,cycles_per_10min_step,share_of_non_dc_energy
6,raw,spectrum,0.018055555555555557,0.00042178280317533635,cycles_per_10min_step,share_of_non_dc_energy
6,raw,spectrum,0.01875,0.0001453419233235886,cycles_per_10min_step,share_of_non_dc_energy
6,raw,spectrum,0.019444444444444445,0.00020362187063873796,cycles_per_10min_step,share_of_non_dc_energy
6,raw,spectrum,0.02013888888888889,0.0005153070975397006,cycles_per_10min_step,share_of_non_dc_energy
6,raw,spectrum,0.020833333333333336,0.00021493779011327055,cycles_per_10min_step,share_of_non_dc_energy
6,raw,spectrum,0.021527777777777778,0.00010395407681334675,cycles_per_10min_step,share_of_non_dc_energy
