TurbID,node_index,signal,fit_split,total_count,valid_ratio,first_difference_std,valid_count,mean,std,q05,q25,q50,q75,q95
1,0,Patv_raw,train,1440,0.9472222222222222,30.35121075263105,1364,782.3133124298364,128.8860808517119,597.0687652587891,658.3001403808594,785.1094970703125,905.52685546875,967.0413726806639
2,1,Patv_raw,train,1440,1.0,29.82619214054415,1440,802.7599261389838,129.4582522052108,616.3488220214844,675.21728515625,805.7370910644531,928.3651885986328,985.8753295898438
3,2,Patv_raw,train,1440,1.0,28.32813379588424,1440,822.8096068488227,128.41134332059818,636.5097625732421,694.9096069335938,827.1234741210938,946.4343109130859,1003.7025146484375
4,3,Patv_raw,train,1440,1.0,29.534285491300057,1440,842.0078466627333,129.88533709830554,654.0025665283204,713.2272186279297,843.2887878417969,970.3751373291016,1022.5145294189454
5,4,Patv_raw,train,1440,1.0,29.02120814174207,1440,862.403425555759,129.18707404331624,677.5767700195313,733.4486694335938,866.8753051757812,986.8477325439453,1046.9754577636718
6,5,Patv_raw,train,1440,1.0,30.47672250868598,1440,882.5777288224962,128.96016219397038,696.4674865722657,755.7857971191406,883.9717407226562,1005.0442657470703,1067.6587341308593
7,6,Patv_raw,train,1440,1.0,28.807670629865388,1440,902.2540342119005,128.0679759356104,718.5956390380859,775.9898529052734,906.3172607421875,1026.7916870117188,1081.888690185547
8,7,Patv_raw,train,1440,1.0,29.175403199392658,1440,922.7284685346815,128.83327704838078,734.2842163085937,795.395751953125,926.2415771484375,1047.1752624511719,1105.5359375
1,0,Wspd,train,1440,1.0,0.10763741790839679,1440,7.827930266989602,1.4156183565785196,5.841821146011353,6.415726661682129,7.851397514343262,9.241543054580688,9.767760705947875
2,1,Wspd,train,1440,1.0,0.10553705938810132,1440,7.884024172027906,1.4112620613643925,5.890090870857239,6.47268533706665,7.916956901550293,9.28566575050354,9.815579748153686
3,2,Wspd,train,1440,1.0,0.10669836712381565,1440,7.943589135011037,1.4135480194556573,5.9398040771484375,6.549311876296997,7.976771116256714,9.347133874893188,9.879288339614869
4,3,Wspd,train,1440,1.0,0.1052530243343096,1440,8.000051895446248,1.4139878343674264,6.004511761665344,6.593900084495544,8.017301559448242,9.407357931137085,9.945017242431641
5,4,Wspd,train,1440,1.0,0.10525290356165735,1440,8.057842522528436,1.412830062456373,6.059428405761719,6.651114344596863,8.091481685638428,9.476367473602295,10.008517789840699
6,5,Wspd,train,1440,1.0,0.10839562434634342,1440,8.116054603126313,1.4132519845695481,6.119438481330872,6.708506107330322,8.13980770111084,9.530287981033325,10.05417332649231
7,6,Wspd,train,1440,1.0,0.1054890497625575,1440,8.173174509074952,1.413107035967005,6.177399468421936,6.765790343284607,8.20808219909668,9.588807582855225,10.113671875
8,7,Wspd,train,1440,1.0,0.10735513462276677,1440,8.229582951466243,1.4136997837848817,6.229563570022583,6.798019170761108,8.277291774749756,9.642593145370483,10.178300857543945
1,0,Patv_clean_for_input,train,1440,1.0,30.085713822185124,1440,782.4015956878662,128.6308810319277,597.1806518554688,659.5359191894531,785.1101989746094,905.1704254150391,965.3648620605468
2,1,Patv_clean_for_input,train,1440,1.0,29.82588568578103,1440,802.7612478468153,129.45591666583093,616.3885803222656,675.1936798095703,805.7113342285156,928.3619689941406,985.8394104003906
3,2,Patv_clean_for_input,train,1440,1.0,28.3325335343247,1440,822.8086366017659,128.40985970364437,636.5363708496094,694.939697265625,827.14794921875,946.4655151367188,1003.7036041259765
4,3,Patv_clean_for_input,train,1440,1.0,29.53659674208009,1440,842.0073121388754,129.88470977757493,653.9679992675781,713.21875,843.3101806640625,970.3289489746094,1022.5306365966796
5,4,Patv_clean_for_input,train,1440,1.0,29.019178062423435,1440,862.403559451633,129.1878934365442,677.5976287841797,733.46484375,866.8974304199219,986.8320007324219,1046.941632080078
6,5,Patv_clean_for_input,train,1440,1.0,30.478592401684526,1440,882.5815171135796,128.96159262407247,696.4835693359375,755.8018951416016,883.9765930175781,1005.0827789306641,1067.6749633789063
7,6,Patv_clean_for_input,train,1440,1.0,28.811664187429837,1440,902.255201933119,128.06588291186873,718.5738403320313,776.0095520019531,906.3346862792969,1026.7624816894531,1081.9056823730468
8,7,Patv_clean_for_input,train,1440,1.0,29.178176020189817,1440,922.7296327379015,128.83272587184254,734.2701293945313,795.4383087158203,926.2160339355469,1047.2601623535156,1105.548846435547
