graph,source_TurbID,target_TurbID,source_node_index,target_node_index,weight,edge_length,delta_wspd_cosine,ma36_patv_correlation,fit_split
Micro,1,2,0,1,0.3618626296520233,1.1089855035418317,0.543927664399574,0.9991974418772986,train
Micro,1,3,0,2,0.26592740416526794,2.1698095350222726,0.5423516337814226,0.9988886188873113,train
Micro,1,4,0,3,0.17479383945465088,3.1614863985632176,0.5388090656054125,0.9986755237264138,train
Micro,1,5,0,4,0.05464143306016922,4.10205092733279,0.5373028967910329,0.9989149938945813,train
Micro,1,6,0,5,0.021445924416184425,5.035689516567556,0.5256274623577338,0.9990896248653758,train
Micro,1,7,0,6,0.061011508107185364,6.001659341938263,0.5549260860488024,0.9990195530523831,train
Micro,1,8,0,7,0.0603172592818737,7.008783694253116,0.5486141604945403,0.9990621940144104,train
Micro,2,1,1,0,0.26853612065315247,1.1089855035418317,0.543927664399574,0.9991974418772986,train
Micro,2,3,1,2,0.26975709199905396,1.063520994205959,0.5341912967069452,0.9989128766428437,train
Micro,2,4,1,3,0.21126548945903778,2.0660096691329572,0.5627172288259913,0.9986340806296021,train
Micro,2,5,1,4,0.14910508692264557,3.0306418198597966,0.5660177742232156,0.9988466338335173,train
Micro,2,6,1,5,0.0414024293422699,4.001771119677013,0.521185594270756,0.9990371307327858,train
Micro,2,7,1,6,0.05993376672267914,5.011431994150662,0.5509477393303429,0.999118847135768,train
Micro,3,1,2,0,0.18211553990840912,2.1698095350222726,0.5423516337814226,0.9988886188873113,train
Micro,3,2,2,1,0.18245857954025269,1.063520994205959,0.5341912967069452,0.9989128766428437,train
Micro,3,4,2,3,0.24450068175792694,1.0120985570271739,0.5520360661888347,0.9985731856925609,train
Micro,3,5,2,4,0.19577239453792572,2.0011497760629493,0.5771469727337696,0.9990980896162766,train
Micro,3,6,2,5,0.13527946174144745,3.009825316622787,0.5416701862428067,0.9991861677323955,train
Micro,3,7,2,6,0.05987340211868286,4.060848617054312,0.5518372446698229,0.9989724487423135,train
Micro,4,1,3,0,0.057836297899484634,3.1614863985632176,0.5388090656054125,0.9986755237264138,train
Micro,4,2,3,1,0.18959864974021912,2.0660096691329572,0.5627172288259913,0.9986340806296021,train
Micro,4,3,3,2,0.24363026022911072,1.0120985570271739,0.5520360661888347,0.9985731856925609,train
Micro,4,5,3,4,0.2465057224035263,1.0038818703168513,0.5757134474071435,0.9990280573048352,train
Micro,4,6,3,5,0.1307520717382431,2.0394163941767407,0.5215555724190992,0.9991439475807921,train
Micro,4,7,3,6,0.1316770315170288,3.1198362302974427,0.565572726214191,0.9991692987391556,train
Micro,5,2,4,1,0.13546860218048096,3.0306418198597966,0.5660177742232156,0.9988466338335173,train
Micro,5,3,4,2,0.1942141205072403,2.0011497760629493,0.5771469727337696,0.9990980896162766,train
Micro,5,4,4,3,0.2457318753004074,1.0038818703168513,0.5757134474071435,0.9990280573048352,train
Micro,5,6,4,5,0.24042968451976776,1.0471926071067539,0.5426530815734779,0.9993470432390512,train
Micro,5,7,4,6,0.18415573239326477,2.1424510605149676,0.5602190388292088,0.9992261094511302,train
Micro,6,1,5,0,0.058246903121471405,5.035689516567556,0.5256274623577338,0.9990896248653758,train
Micro,6,3,5,2,0.13739939033985138,3.009825316622787,0.5416701862428067,0.9991861677323955,train
Micro,6,4,5,3,0.13239768147468567,2.0394163941767407,0.5215555724190992,0.9991439475807921,train
Micro,6,5,5,4,0.24535436928272247,1.0471926071067539,0.5426530815734779,0.9993470432390512,train
Micro,6,7,5,6,0.24355152249336243,1.0996231064978996,0.5468765537261807,0.9995652675618237,train
Micro,6,8,5,7,0.18305015563964844,2.2138395969173015,0.5504223442008159,0.999082329898386,train
Micro,7,1,6,0,0.059808555990457535,6.001659341938263,0.5549260860488024,0.9990195530523831,train
Micro,7,2,6,1,0.05938023701310158,5.011431994150662,0.5509477393303429,0.999118847135768,train
Micro,7,3,6,2,0.09960328042507172,4.060848617054312,0.5518372446698229,0.9989724487423135,train
Micro,7,4,6,3,0.14512337744235992,3.1198362302974427,0.565572726214191,0.9991692987391556,train
Micro,7,5,6,4,0.20829470455646515,2.1424510605149676,0.5602190388292088,0.9992261094511302,train
Micro,7,6,6,5,0.21427947282791138,1.0996231064978996,0.5468765537261807,0.9995652675618237,train
Micro,7,8,6,7,0.2135104089975357,1.114436536255347,0.5437851924931042,0.9990411978078698,train
Micro,8,1,7,0,0.06054370105266571,7.008783694253116,0.5486141604945403,0.9990621940144104,train
Micro,8,3,7,2,0.07918475568294525,5.140181913825431,0.5394927603885529,0.9988704098102685,train
Micro,8,4,7,3,0.05045599862933159,4.221120010511302,0.5275731358617164,0.9984102179923018,train
Micro,8,5,7,4,0.17062754929065704,3.253890480007542,0.5361023832126808,0.999028439503047,train
Micro,8,6,7,5,0.2686557173728943,2.2138395969173015,0.5504223442008159,0.999082329898386,train
Micro,8,7,7,6,0.3705323040485382,1.114436536255347,0.5437851924931042,0.9990411978078698,train
Macro,1,2,0,1,0.229475200176239,1.1089855035418317,0.543927664399574,0.9991974418772986,train
Macro,1,3,0,2,0.1884089708328247,2.1698095350222726,0.5423516337814226,0.9988886188873113,train
Macro,1,4,0,3,0.14949339628219604,3.1614863985632176,0.5388090656054125,0.9986755237264138,train
Macro,1,5,0,4,0.12341048568487167,4.10205092733279,0.5373028967910329,0.9989149938945813,train
Macro,1,6,0,5,0.10920143872499466,5.035689516567556,0.5256274623577338,0.9990896248653758,train
Macro,1,7,0,6,0.10000330954790115,6.001659341938263,0.5549260860488024,0.9990195530523831,train
Macro,1,8,0,7,0.10000722855329514,7.008783694253116,0.5486141604945403,0.9990621940144104,train
Macro,2,1,1,0,0.1897507607936859,1.1089855035418317,0.543927664399574,0.9991974418772986,train
Macro,2,3,1,2,0.19069913029670715,1.063520994205959,0.5341912967069452,0.9989128766428437,train
Macro,2,4,1,3,0.1642739176750183,2.0660096691329572,0.5627172288259913,0.9986340806296021,train
Macro,2,5,1,4,0.13750135898590088,3.0306418198597966,0.5660177742232156,0.9988466338335173,train
Macro,2,6,1,5,0.1177501231431961,4.001771119677013,0.521185594270756,0.9990371307327858,train
Macro,2,7,1,6,0.10001437366008759,5.011431994150662,0.5509477393303429,0.999118847135768,train
Macro,2,8,1,7,0.10001038014888763,6.0571648975103125,0.5057472122701093,0.9990790199879582,train
Macro,3,1,2,0,0.15283149480819702,2.1698095350222726,0.5423516337814226,0.9988886188873113,train
Macro,3,2,2,1,0.1781941056251526,1.063520994205959,0.5341912967069452,0.9989128766428437,train
Macro,3,4,2,3,0.17908045649528503,1.0120985570271739,0.5520360661888347,0.9985731856925609,train
Macro,3,5,2,4,0.15708237886428833,2.0011497760629493,0.5771469727337696,0.9990980896162766,train
Macro,3,6,2,5,0.13281463086605072,3.009825316622787,0.5416701862428067,0.9991861677323955,train
Macro,3,7,2,6,0.10000354796648026,4.060848617054312,0.5518372446698229,0.9989724487423135,train
Macro,3,8,2,7,0.09999331831932068,5.140181913825431,0.5394927603885529,0.9988704098102685,train
Macro,4,1,3,0,0.09998849779367447,3.1614863985632176,0.5388090656054125,0.9986755237264138,train
