TurbID,x,y,Ele
1,3349.8515,5939.23193,1430.7000732421875
2,3351.0017,6416.6467299999995,1434.2000732421875
3,3314.7797,6892.18395,1436.9000244140625
4,3352.094,7366.14203,1439.7000732421875
5,3355.342,7841.20175,1441.7000732421875
6,3329.4284,8340.797690000001,1444.300048828125
7,3360.5473,8816.23834,1447.2000732421875
8,3360.2992,9265.21442,1448.800048828125
9,3359.9419,10696.54549,1458.4000244140625
10,3361.2616,11171.77916,1462.2000732421875
11,3244.0619,11646.05877,1463.0
12,3286.7788,12121.00426,1467.2000732421875
13,3326.2552,244.02595,1395.2000732421875
14,3328.7796,719.0481599999999,1396.300048828125
15,3329.7588,1194.28795,1398.4000244140625
16,3333.9042,1658.2573300000001,1400.5
17,3334.2558,2140.5542600000003,1405.0999755859375
18,3336.8477,2615.58831,1407.4000244140625
19,3338.8861,3090.44941,1409.5999755859375
20,3361.0339,3566.91886,1413.5999755859375
21,3249.0218,4043.58605,1414.5
22,3250.8602,4519.346729999999,1419.5
23,3346.8376,4989.86182,1422.7000732421875
24,3322.2136,5465.8856,1425.2000732421875
25,4260.8151,5699.7501600000005,1428.7000732421875
26,4328.53,6171.98539,1432.800048828125
27,4331.9147,6650.66702,1437.7000732421875
28,4373.2043,7122.6401,1441.7000732421875
29,4267.1024,7597.967079999999,1442.0999755859375
30,4333.9194,8075.094059999999,1446.5999755859375
31,4363.0583,9974.68922,1457.4000244140625
32,4341.538,10448.7068,1460.4000244140625
33,4341.2239,10923.51197,1463.7000732421875
34,4475.873,11359.039270000001,1468.0
35,4305.956,11874.6941,1469.800048828125
36,4303.7037,0.0,1394.2000732421875
37,4306.233,473.27282,1399.300048828125
38,4308.0735,949.4870099999999,1403.2000732421875
39,4310.2121,1424.7466,1405.300048828125
40,4312.2476,1901.0316,1408.2000732421875
41,4353.3118,2373.37382,1407.5999755859375
42,4315.7548,2851.53764,1411.7000732421875
43,4357.3789,3325.82225,1417.5999755859375
44,4320.3892,3800.2005200000003,1420.5999755859375
45,4320.6831,4245.29983,1421.5999755859375
46,4349.2935,4748.01915,1426.5999755859375
47,4418.2569,5250.99853,1426.0999755859375
48,5501.4529,5458.61691,1432.5
49,5239.0025,5933.88235,1434.800048828125
50,5283.0121,6408.29573,1437.800048828125
51,5309.2053,6882.094929999999,1443.0999755859375
52,5182.8594,8810.61678,1451.9000244140625
53,5289.465,9287.65496,1455.800048828125
54,5317.0343,9736.40115,1458.7000732421875
55,5340.0893,10182.55459,1461.300048828125
56,5384.8995,10690.89613,1463.5
57,5360.5356,11165.397190000002,1465.5
58,5279.4781,231.50508,1393.4000244140625
59,5285.9086,707.18265,1397.300048828125
60,5287.3353,1181.28512,1401.5999755859375
61,5316.6078,1660.98299,1405.300048828125
62,5291.8141,2131.70346,1408.0999755859375
