horizon,point,target_index,timestamp,Actual,A0,A1,A2,A3,A4,A5,A6,A7,A8
3,1,47455,2021-11-26 13:20:00,0.0,5.48648738861084,0.4530220031738281,13.155556678771973,1.0928051471710205,0.0,13.501317024230957,8.442361831665039,0.3465176820755005,0.0
3,2,47456,2021-11-26 13:30:00,0.0,4.607447624206543,2.1570913791656494,5.806000709533691,4.688462257385254,0.13350902497768402,25.537063598632812,10.519195556640625,1.1985523700714111,0.0
3,3,47457,2021-11-26 13:40:00,0.0,4.500944137573242,2.210343360900879,4.128178596496582,3.7021613121032715,0.0,22.608192443847656,11.025469779968262,1.1985523700714111,0.0
3,4,47458,2021-11-26 13:50:00,0.0,6.418779373168945,2.4766042232513428,7.803335189819336,4.074926376342773,0.0,21.54315185546875,13.79458236694336,1.4115610122680664,0.0
3,5,47459,2021-11-26 14:00:00,0.0,7.456817626953125,2.9026215076446533,8.842131614685059,3.4359006881713867,0.0,21.782405853271484,16.164682388305664,1.3050566911697388,0.0
3,6,47460,2021-11-26 14:10:00,0.0,10.625699996948242,3.967664957046509,14.673622131347656,3.408895969390869,0.4530220031738281,19.625316619873047,21.410400390625,1.837578296661377,0.0
3,7,47461,2021-11-26 14:20:00,0.0,12.463277816772461,4.020916938781738,15.685413360595703,4.394439697265625,1.1453001499176025,18.613525390625,23.753494262695312,1.9440826177597046,0.0
3,8,47462,2021-11-26 14:30:00,0.0,24.33926773071289,5.884742736816406,23.327476501464844,5.859252452850342,3.4096529483795166,25.270801544189453,38.61084747314453,2.184095859527588,4.234683036804199
3,9,47463,2021-11-26 14:40:00,0.0,22.901458740234375,5.458725452423096,22.741703033447266,6.498278617858887,3.4359004497528076,26.016332626342773,40.634429931640625,1.9710873365402222,4.234683036804199
3,10,47464,2021-11-26 14:50:00,0.0,19.120555877685547,4.39368200302124,18.588035583496094,6.924295902252197,2.2373480796813965,23.22021484375,39.14337158203125,2.556861162185669,2.5838658809661865
3,11,47465,2021-11-26 15:00:00,2.7149999141693115,22.315685272216797,4.553438663482666,19.91933822631836,7.030799865722656,4.341187477111816,28.625690460205078,40.794189453125,1.9710872173309326,2.3446097373962402
3,12,47466,2021-11-26 15:10:00,5.141250133514404,22.501689910888672,2.849369525909424,20.558364868164062,6.551530838012695,4.074926853179932,28.09316635131836,41.91248321533203,1.8113309144973755,3.3031487464904785
3,13,47467,2021-11-26 15:20:00,6.777273178100586,29.030298233032227,8.191977500915527,28.21699333190918,14.719164848327637,5.732970714569092,28.54591178894043,52.0739631652832,1.4144290685653687,7.5734171867370605
3,14,47468,2021-11-26 15:30:00,14.717000007629395,44.35143280029297,16.126270294189453,33.40278625488281,38.13127517700195,18.768787384033203,39.260223388671875,67.03684997558594,6.540274620056152,33.87140655517578
3,15,47469,2021-11-26 15:40:00,16.980714797973633,45.221717834472656,18.152894973754883,32.593353271484375,53.544273376464844,17.134578704833984,41.0528450012207,66.87252044677734,7.563321590423584,30.31111717224121
3,16,47470,2021-11-26 15:50:00,42.570556640625,46.74659729003906,25.622060775756836,37.20854187011719,45.37387466430664,15.386988639831543,42.24974822998047,68.63915252685547,8.498360633850098,21.78891372680664
3,17,47471,2021-11-26 16:00:00,42.421939849853516,38.715538024902344,27.19148063659668,30.758638381958008,47.98495101928711,11.999542236328125,35.7816162109375,60.83418655395508,10.879039764404297,22.2382869720459
3,18,47472,2021-11-26 16:10:00,66.3949966430664,48.071983337402344,27.882822036743164,40.62851333618164,52.36766052246094,19.279808044433594,38.34458923339844,66.4913101196289,19.24397087097168,19.9251708984375
